zh_duty,zh_name,zh_require,zh_type
负责BG人力外包采购和过程管理、组织和执行外包数据审核和分析；参与BG内重点业务外包资源的协调，管理，及外包资源成本优化项目（有能力跨团队驱动，按项目化节奏推进），相关过程数据的度量和分析，输出管理报告；参与梳理和推动执行人力外包规范化相关管理流程，组织和执行流程审计；规划并推动外包管理平台建设，有效优化外包管理系统化平台化，提升效率。,PCG04-外包管理员（深圳）,"3年以上互联网行业的外包人力或大型项目管理经验；
对外包现场交付管理、风险控制、对外商务洽谈有优秀的经验或项目实践；对成本管理及人力管理有优秀的项目经验。
良好文字、语言表达能力，能独立撰写组织级制度流程类文件； 
强烈的责任心、推动力及执行力，有良好的沟通协调能力和实际解决问题的能力；
 良好职业素养，严格保守公司相关商业机密，遵守公司行为规范；
对IT流程系统建设，有负责系统建设项目经理或开发经验者优先",产品
"负责协助董事会办公室相关的文书事务， 如业绩公告，召开董事会/股东会等的文书准备；
协助部门处理集团内公司的文书及归档工作。
",BOD-董事会秘书专员(深圳),"本科以上学历；
具备五年或以上工作经验，细心及有条理；
精通中英文，英语水平需要达到专业八级； 
有相关公司秘书文书处理工作经验者优先。
",财务
"1. 根据产品发展阶段，梳理品牌市场营销活动节奏；
2. 结合推广要求及产品核心能力，整合内外资源，策划整合营销创意方案;
3. 通过线上线下推广活动、联合营销等方式，统筹执行方案，最后达成项目目标。",32661-动漫品牌经理,"1. 极度热爱动漫，热爱国漫，二次元圈小伙伴优先；
2. 具备3年以上动漫行业相关经验以及相关平台经验；
3. 沟通协调能力强，有创新精神，思路开阔，具有良好的分析与解决问题的能力；
4. 积极乐观、主动进取、喜欢挑战、能创造性地工作；责任心强，能够承担较大挑战和压力。",营销与公关
"1、负责教育类产品运营活动页面的设计。根据运营需求，主导项目的设计定位，主导设定视觉风格，完善设计细节。
2、负责定义教育类产品的品牌设计（包括辅助图形、IP形象、元素、色彩、排版、字体等）。
3、负责挖掘各类品牌创意，输出设计方案并推动落地。",21309-在线教育运营设计师,"1、3年以上运营+品牌设计的经验，在图形、版式、色彩，插画方面有独到的表达与审美。
2、有扎实的美术功底，能用绘画表达创意并落地到最终设计呈现的能力。
3、有良好的总结和归纳能力，能不断提炼品牌设计和品牌传播的实践经验；
4、具有极强的沟通和团队协作能力，有高度Open的心态；
5、如有手绘、3D、动画等额外特长优先考虑。",设计
"1、负责产品团队内研发效能改进方案设计，制定整体的解决方案，并推动在业务团队内的落地实施； 提高整体研发效率和交付能力。
2、有实际的项目数据驱动实践，熟悉度量方法，通过量化透明，有效驱动过程改进。
3、有丰富的软件工程理论知识，能敏锐发现项目过程中的风险和问题，对所在业务团队进行研发改进推动实施； 
4、具备优化项目开发流程并抽象工具平台需求的能力，推广团队优秀工程实践，推进整体研发工程效率的提升；
5、提供基本的工程效能提升及敏捷过程改进培训，负责课程的培训讲授；",PCG04-研发效能改进工程师,"1、国家统招本科及以上学历，计算机、软件工程、数学等相关专业；
2、杰出的自我驱动学习能力，能独立思考，乐于接受挑战，在压力中突破自己； 
3、具有极强的互联网思维，愿意接受新鲜事物，乐于分享和传递； 
4、具有3年以上开发测试或软件项目管理工作经验、工程效能改进项目经验；
5、熟悉信息架构设计，熟悉基于UML的数据建模方法，有数据建模工具使用经验，优先考虑；",技术
"根据商务端的需求，负责相关协议、合作政策及其他业务流程的梳理、优化；
梳理商务团队的业务模式，制定不同模式业务流程规则，协助商务业务落地；
收集商务反馈的问题及需求，及时联动相关部门跟进并解决；
收集市场行业信息、竞品信息，促进渠道政策的制定和优化",32271-商务运营经理j,"逻辑思维能力好，善于沟通，跨部门沟通能力强；
有互联网产品商务运营经验，熟悉会员业务模式；
善于归纳，对数据敏感，结果导向；
能吃苦、有韧性，敢于接受和尝试新挑战",营销与公关
"1、带领公司不断推进“一部手机游云南”项目的建设开发、平台运营等服务，持续挖掘和引导机构，商户和用户三方需求，摸索和建立市场化的商业模式，打造“一部手机游云南”成为引领本地健康旅游发展的行业标杆。
2、熟悉企业管理，熟悉资本市场运作模式，通过投资、融资、并购等多种资本模式整合文旅产业链资源，能够有效制定企业发展战略。
3、执行董事会决定，保证中长期发展目标的实现，完成董事会下达的年度任务和利润指标。并基于文旅行业发展趋势不断优化创新日常运营。
4、全面负责公司和省市政府各级部门、投资方等各合作机构合作伙伴关系的建立与维护。                                      
5、完善公司的现代化管理体系，推动流程优化、结构调整、资源整合、文化提升。
6、建设和发展优秀的企业文化，发掘、培养及打造优秀的人才队伍。",26381-腾云公司CEO-（昆明）,"本科及以上学历， 8年以上工作经验，具备优秀的商业敏锐度和战略规划能力；
具备极强的团队管理能力，有公司全面运作、公司经营管理等方面的积累和方法以及成功经验；
富有创业精神，强烈的内驱力和成就导向，有创业经验优先考虑；
丰富的金融行业知识，有融资、上市等经验优先。",产品
"负责向业务部门传递公司人力资源招聘政策制度；
负责客观了解业务部门的招聘需求，并制定有效的招聘方案；
负责业务部门招聘目标的达成、高级人才寻访、面试录用等；
按公司要求制定针对业务部门的招聘规划和分析总结。",CDG-招聘经理（深圳）,"本科及以上学历；
5年以上从事大型IT企业人力资源工作经验，其中5年以上招聘工作经验；
全面的组织实施过社会招聘和校园招聘的各项工作，并在某一招聘模块非常精通；
掌握常用的面试方法和人力资源相关知识，熟悉国家和地方的相关劳动法律法规；
良好的人际理解能力、沟通协调能力、良好的团队合作意识和抗压能力，开放的心态和主动的学习意识；
具有丰富的中高级人才或海外人才招募经验者优先。",人力资源
"1、负责ABCmouse等一系列教育产品的3D图形及动画设计；
2、根据产品及项目需求，还原原画设定基础上，设定相应（场景、角色）3D模型，渲染；
3、观察角色特征，赋予角色灵魂，为角色设定骨骼动画，包括面部表情、附件、道具及动画后期制作；
3、制定相关3D造型和动画设计规范；
4、审核和协调外部供应商制作，保证产品风格输出的质量和一致性。",21309-3D动画设计师（深圳）,"1、本科及以上学历，3年以上相关工作经验；
2、有动画设计或游戏3D相关工作经验；
3、造型能力和动画基础扎实，节奏感强，对不同风格的动作设计理解到位；
4、掌握3D渲染及动画制作常用软件如C4D/3DMAX/Maya/PR/AE等，能快速掌握新的技术或制作流程；
5、思维活跃有创意，了解互联网趋势及年轻人娱乐喜好；
6、有较强的抗压能力，团队合作意识强，有极高的工作责任心、正直，执行力强，善于沟通。",设计
"1、与游戏运营及研发合作，进行游戏内数据精细化运营解决方案的推进与落地。
2、基于数据能力，分析解决方案的运营效果，并能独立提出优化方案，实施落地。
3、具备基础项目运营能力，熟悉相关产品技术流程，确保合作的顺利推进及技术环节的优质落地。
4、与多方合作团队保持良好关系维系。",25924-产品运营经理（深圳）,"1、本科以上学历，逻辑清晰，沟通良好者优先。
2、热爱游戏，熟悉主流网络游戏产品，并有丰富游戏体验者优先。
3、具备2年及以上互联网从业经验，熟悉游戏运营者优先。
4、具备一定的技术背景，理工科背景优先。对游戏研发或技术工作流程熟悉者优先。
5、具备数据分析能力，了解数据挖掘及大数据运营者优先。
6、认真负责，有大局观，学习能力强，具备钻研精神，抗压性强。",产品
"配合游戏开发制作游戏特效
优化现有特效美术效果",24987-无限法则 - 3D游戏特效,"熟练掌握虚幻4引擎特效编辑器
可以使用虚幻4引擎制作和特效相关的材质动画
懂得特效优化和制作上的资源限制，并且能在限制内做出理想美术效果
技术理解力强，有自学动力
",设计
"精准结合用户场景与需求，为腾讯内部平台制定、落实、监督品牌方案设计落实；
参与全链路的设计工作，输出并完善设计分析、视觉风格设定、规范设计语言与推广；
走查、监督、把控输出质量，提升产品品质；
主导产品体验，梳理产品需求，输出原型设计与相关文档；
结合设计流行趋势分析，主导平台审美方向；
对产品持续进行设计优化，提升用户体验。",TEG04-码客社区设计师(深圳),"本科以上学历，3年以上界面设计经验，对社交、工具、平台类产品设计有丰富经验，具有成功案例；
熟悉工具平台研发流程，掌握基础前端代码编写，了解通用控件库结构；
美术功底扎实，具备良好的绘画技巧，对结构、线条、色彩的把控较强；
对品牌设计有深刻理解，熟悉设计定位、风格定义、规范执行；
对用户体验和易用性有敏锐的把握能力，对产品发展趋势，产品总规划有较深刻的理解；
具备良好合作态度及团队精神，富有工作激情、创新欲望和责任感，能够承受高强度工作压力。",设计
"1、负责对公司业务单位内部控制进行全面分析，评估并提供建议 
2、对供应商的提供的数据进行把关，排除其中可能存在的风险点
3、与业务部门配合，协助维护地图产品安全，防范竞争对手、境外等风险
4、跟进内部审计项目中待改进项，检测并定期汇报改善情况 
5、与业务单元的管理层沟通,汇报风险管理情况
6、进行风险管理及内控宣导和培训",S2-CSIG风险管理经理(北京）,"1、至少5年内控或风险管理相关工作经验，具备丰富的内控风险管理计等专业经验 
2、具备一定的IT知识与业务敏感性，能对业务流程中的关键风险点做出把握并能提出有效的可落地的建议措施，并推动实施 
3、有良好的项目管理能力，能够独立完成项目计划、实施、工作底稿及报告材料整理及汇报等工作 
4、具备良好的沟通协调能力，团队合作能力 拥有职业敏锐度，能对业务流程中的关键风险点做出把握并能提出有效的可落地的建议措施，并推动实施 
5、熟悉互联网行业，有地图从业经验优先 
6、需要到深圳出差",财务
"负责腾讯计费平台的搭建和维护工作，包括：
负责腾讯出海游戏的计费模块建设、监管、维护等运维工作；
快速迭代实现产品需求，制定运维方案，按运维规范部署实施，及时解决运维环境系统故障；
确保计费系统安全性，健壮性，稳定性。",TEG15-系统运维工程师(深圳),"计算机相关专业本科以上学历，3年以上大型系统运维经验，熟悉运维规范；
精通linux操作系统，熟悉MySQL，至少掌握python/shell其中一种编程语言, 熟悉Linux脚本类处理工具(awk，sed等)；
掌握分布式的集群系统的设计并有相关维护经验，熟悉HTTP/DNS/TCP等网络协议；
思维逻辑清晰，能快速学习业务逻辑，有较好的问题分析及总结能力，善于主动发掘并优化工作中出现的问题； 
责任感强，有良好的服务意识与团队合作意识，抗压能力强。",技术
"快速上手业务，并组织团队完成产品的质量体系构建和管理工作；
招聘并构建测试团队，完成团队的建设和发展，实现良好的跨团队合作；
优化、提高团队的测试效率和输出质量，主动发现问题并优化改善，做好过程和结果的积极反馈和团队的反思提升工作；
承担团队的游戏运营品质和责任，关注并提升团队业绩；
承担外网游戏品质责任，关注项目业绩。",25927-游戏测试经理（深圳）,"本科以上学历，有3年以上软件测试经验，有游戏测试经验者优先，具有快速熟悉业务流程和优化，并建立完善质量体系的能力；
有过带领团队独立完成项目测试工作，做好工作中的问题挖掘和改善，带领团队提升业务熟悉度和技术能力的提升的经验；
具备团队组建、团队人才培养、团队梯队建设和团队发展的经验，能够很好的进行团队内外的沟通和团队绩效提升；
优秀的执行力和抗压能力，热爱游戏测试，乐于主动反馈和积极思考；
熟悉至少一门开发或者脚本语言，C++、C、C#、php、python优先；
熟悉主流操作系统原理（windows、linux、android）、网络协议等，有过前后端性能、安全、兼容等测试经验者优先。",技术
"支持上级工作，负责上级日程管理及差旅行程安排，协助上级做好部门管理及团队融合，参与上级及核心团队的支持工作；
担任部门内各项行政人事工作接口人，负责统筹管理相关事务等；
协助制定并实施部门的管理规章制度及各项流程，并进行流程优化；
负责组织活动和文化落地，活跃部门组织氛围。",PCG20-部门秘书（北京）,"大学本科及以上学历；
3年以上秘书相关工作经验，外语能力强者优先考虑；
工作及时高效，抗压性强，具备较好的时间管理意识；
工作例行化程度高，做事清晰有条理，善于总结陈述，具有全局观及项目预见性、前瞻意识；
具备优秀的服务意识、高度责任感及团队合作精神，能够与上级、员工保持良好的工作关系，进行有效的沟通；
熟练运用各种日常办公软件及办公设备，能独立组织大型团队活动并有创新意识；
热情开朗，有良好的情绪管理能力，为人正直、处事公正、亲和力好。",行政支持
"负责腾讯云CDN的后台服务模块开发和优化；
负责腾讯云CDN的技术升级；
负责腾讯云CDN的后台架构优化。",TEG09-CDN高级后台开发工程师,"本科以上学历，计算机或相关专业；
5年以上Linux后台开发经验，熟悉网络编程； 
精通C/C++，具备高并发、大容量的后台服务系统架构设计经验； 
熟悉NGINX等软件架构及源代码者优先；熟悉常见的DDoS安全攻防技术者优先；
熟悉KVM/docker虚拟化技术者优先； 
具备良好的沟通表能力及团队协作精神、有较强的主动性、责任心与执行能力；",技术
"负责创新客户端软件的产品开发与维护；
负责高质量的设计和编码，承担重点、难点的技术攻坚，参与项目架构设计与实现；
和产品经理配合，深度参与手机产品需求讨论，功能定义等。",30361-创新产品ios开发工程师,"计算机基础扎实，熟悉常见数据结构、算法和设计模式，深入了解TCP/IP协议，对操作系统原理有深刻理解；
精通OC/C++语言/Java和iOS/android应用开发：熟悉系统控件、内存管理、动画、多线程、网络优化、数据库、XML/JSON解析等；有两年以上IOS开发经验，有大型App经验优先；
有图像和视频处理以及opengl开发经验优先；
具备良好的分析解决问题能力及攻坚能力，能独立承担任务，有系统进度把控能力；
责任心强，具有良好的对外沟通和团队协作能力，主动，好学。",技术
"1.负责腾讯地图底图后台服务的开发与维护工作
2.负责底图数据的处理、编译
3.负责底图数据生产提效工具的开发与维护
",CSIG16-腾讯地图底图后台开发,"1. 良好的c/c++编程基础，熟练掌握常用的数据结构与算法
2. 有比较大型的后台服务器端开发与维护经验，掌握多线程，缓存，分布式等开发技能
3. 有一定web后台开发经验，掌握基本的前端js开发更好
4. 有大数据开发与分析经验者优先
5. 有数据处理策略算法开发经验者优先
5. 有地图相关行业开发经验者优先",技术
"1. 政务大数据处理平台的架构设计和技术选型；
2. 大数据处理平台实施方案的设计和规划；
3. 技术难点攻坚；
4. 项目整体进度的把控和风险控制；
5. 培训及知识转移。",25664-政务大数据交付架构师,"1. 计算机、数学等专业本科或以上学历，5年及以上大数据相关工作经验；
2. 对hadoop生态、实时计算框架非常熟悉，具备集群搭建、维护、监控能力；
3. 熟悉Flume、Kafka、Storm、Spark、impala、Hive、Elasticsearch、Hbase等大数据技术至少精通其中三项以上；
4. 具备大数据平台性能分析、debug、排障能力；
5. 有大数据平台的数据流处理、监控经验优先；
6. 至少实践过1个大数据平台建设项目，平台数据量不小于20T；
7. 具有百台以上大数据集群架构经验者优先，具有集群与集群之间数据交换经验者优先，具有政务行业大数据项目经验者优先。  通过腾讯云技术认证或同等资格认证的优先录取。",技术
·	收集运营侧对流量，平台产品以及运营流程的反馈，提供系统化、基于数据的分析梳理，拟清需求的商业价值以及优先级，持续推进需求的落实执行； ·	梳理了解广告主侧数据及平台架构的基础上，结合广告主需求及腾讯能力，为广告主提供基于产业升级的创新产品方案； ·	基于对行业趋势，技术以及平台的了解，为日常运营提供技术和产品支持。 ·	从产品和技术层面，配合运营团队，进行产品形态创新和运营方式探索。,30632-腾讯广告商业产品经理, 1. 全日制本科以上学历，3年以上广告产品或运营熟练经验； 2. 熟练的产品策划和技术推动经验，能流畅的与产品研发团队衔接交流各项日常工作； 3. 卓越的逻辑分析与表达能力，善用综合能力系统性的洞察问题并灵活处理； 4. 优秀的沟通和协调能力，善于协调及整合需多方融合的跨团队资源和项目协作； 5. 高效执行力，对产品工作有激情； 6. 计算机或MBA背景优先。,产品
"负责腾讯海外产品的UX工作，包括toC toB业务方向，负责从概念、原形到落地的设计过程；
参与产品需求规划及制定过程，提出设计方向及目标并推动执行落地；
实地参与海外市场及用户研究，挖掘市场方向洞察用户痛点，并提出创意解决方案；
参与设计前瞻性的研究并关注设计流行趋势，并能及时提炼形成方案应用到项目中；
",GY0-高级交互设计师（深圳）,"本科及以上学历，视觉传达、工业设计、人机交互等专业；
5年以上互联网产品交互设计经验，有视觉基础能力优先；
熟悉互联网产品交互设计相关流程，包括需求分析、用户研究、原型设计等；
对交互理论有较深的理解，对产品敏感，能够在复杂的约束条件下找到平衡或者创新的方法;
较强的沟通能力，积极并富有创造力，善于团队协作；",设计
负责理财通交易系统开发工作，建设基金海量交易系统相关的技术平台。,18427-理财通后台开发工程师,"良好的综合素质：严谨细致、尽责进取、有激情、爱学习、善沟通、能承压；
 熟悉Linux下的常用命令和脚本编程，熟悉常见Linux服务器的架设与使用；
 熟悉Linux下C++后台服务编程，有扎实基础和项目经验者优先；
 熟悉Linux下网络与多线程编程，熟悉事务型数据库（MySQL优先）开发；
 代码风格良好，熟悉常见的设计模式，具备中型系统的规划设计能力，具备运维问题的分析定位能力，有一定的API设计意识，有一定的测试意识；
有金融系统开发经验或海量互联网系统的设计/开发经验者优先。
",技术
以开发者的视角，利用云上提供的各种技术产品进行体验开发，从中发现各云产品体验的BUG或不足，提出优化改进意见，并促进改进落地，从而使各个云产品不断完善，让开发者有更好的开发体验。,31504-云开发体验改进工程师,"2-5年工作经验，计算机相关专业毕业，本科及以上学历。
熟练至少一门流行语言的开发，如C／C++ 、JAVA、PHP、GO、Python、Node.js等。
对云计算有一定了解，有跨云开发经验优先。  通过腾讯云技术认证或同等资格认证的优先录取。",技术
"负责游戏产品从引入到上线的流程梳理及优化，流程制度的落地与执行，以及对该流程的持续改进；
负责部门成本管理、目标管理等模块，提升工作效率，协助部门目标达成；
负责部门内其它项目管理工作。
",23516-业务流程管理（深圳）,"热爱游戏，有游戏产品运营经验、项目管理或者流程管理经验优先；
具有良好的执行力、沟通协调能力以及项目推进能力；
工作态度积极、责任心强，能够承担较高的工作压力。",产品
"视频招商项目的运营管理和销售支持工作，帮助实现视频变现达成收入目标，具体职责包括：
对接各销售部行业和商业制片团队，挖掘行业营销需求，推进需求解决方案落地；
日常进行项目和商机管理，梳理推进方向，通过多种途径和方式推动商机进展；
负责各品类招商数据分析，定期提供各类业务进展报告，发掘业务潜能和问题，支持业务决策。",24548-收益运营专员（北京）,"有互联网广告相关AM、BD或运营经验，了解广告主普遍性的要求；
年轻，有冲劲，强执行力和推动能力；
沟通和协调意愿和能力高，能快速和各个团队建立合作关系；
逻辑思维性较强，有一定数据分析能力；
两年以上相关工作经验。",内容
"1、负责运营平台业务系统设计和开发
 2、负责运营平台基础架构建设和系统优化工作
 3、提升运营平台架构可用性及稳定性",18427-理财通后台开发工程师,"良好的综合素质：严谨细致、尽责进取、有激情、爱学习、善沟通、能承压；
 熟悉Linux下的常用命令和脚本编程，熟悉常见Linux服务器的架设与使用；
 熟悉Linux下C++后台服务编程，有扎实基础和项目经验者优先；
 熟悉Linux下网络与多线程编程，熟悉事务型数据库（MySQL优先）开发；
 代码风格良好，熟悉常见的设计模式，具备中型系统的规划设计能力，具备运维问题的分析定位能力，有一定的API设计意识，有一定的测试意识；
有金融系统开发经验或海量互联网系统的设计/开发经验者优先。
",技术
"根据产品发展阶段，能够系统地梳理品牌调性和美术方向，配合品牌经理一起健全市场品牌定位；
结合推广要求及产品核心能力，策划创意营销方案。并通过线上线下推广活动、联合营销等方式，统筹执行方案，最后达成项目目标；
指导设计制作供应商、美术实习生产出品牌相关物料，助力各部门、各项目的物料产出工作；
结合热点事件，新兴媒介特点等，及时发掘营销机会，策划营销事件.",27087-资深美术设计师,"3年以上传统4A、digital、social等乙方公司的美术相关工作历练，关注业内动态，对品牌传播有自己的理解和敏感度； 2年以上甲方市场部工作经验，独立带过项目加分；
有完整的出街案例，优秀的审美能力，出色的美术功底和执行能力，多种视觉呈现方式都有自己的理解力，并能指导他人、把控品质；
有网感、接地气、脑洞大，对互联网行业，特别是短视频行业有认知和理解，熟悉互动领域。
具备较强的营销洞察嗅觉和创新能力，逻辑能力强，思维活跃；
具备优秀的设计制作能力，熟练使用各种平面设计软件，有视频、摄影、3D、动画、插画等其中一项特殊能力。
具备优秀的供应商管理能力和内部沟通表达能力，并富有工作激情、创造力和责任感，能承受高强度的工作压力.",营销与公关
"1、根据公司的产品战略制定产品运营策略，提升用户获取、留存、转化、召回等效率指标，对用户体验负责；
2、负责互联网金融业务的整体运营工作，维护用户关系，提高用户活跃度和黏着度，发掘并推广优质用户，引导用户产生内容，增强互动性；
3、对数据敏感，持续跟踪产品运营数据，调整运营策略，跟进用户反馈，改善产品体验；
4、具备竞品分析的能力，能够为产品运营提供可行性建议。",23486-金融业务产品运营总监,"1、本科及以上学历，计算机或金融相关专业；
2、5年以上产品经验，有金融产品背景优先；
3、数据分析能力较好，善于分析用户行为，琢磨用户痛点，有网络嗅点；
4、善于思考和学习，有责任感，能够保持行业敏感性。",产品
"负责相关学校的校董会工作；以及根据学校的战略规划，统筹教育类公益项目的实施计划、资源整合、相关方沟通及项目评估反馈等工作。

1、校董会的筹备、组织、文件准备、记录管理等工作。
2、协助制订校董会年度工作计划、预算及年终总结。
3、与校董保持日常工作联系，信息共享、负责校董单位或个人来校的接待及相关工作。
4、项目策划及计划制定：根据基金会的公益理念和项目目标，策划并制定短、中、长期项目方案及对应的预算方案；拟定并编制具体实施计划及里程碑目标。
5、项目合作方沟通与激励：向合作方充分传递项目理念与目标，激励和调动合作方的积极性，并提供相关资源，协助合作方项目能力不断提升；
6、内外部资源整合：基于基金会自身优势及可持续发展目标，不断整合内外部优质资源，推动项目的发展；",CS-企业社会责任部项目经理,"1、 大学本科以上学历，有互联网公司运营相关工作经验优先；
2、优秀的中英文沟通、口笔译及写作能力；
3、商务谈判能力强，能与内部成员及外部合作伙伴进行有效沟通和协调资源，有良好的团队合作精神；
4、富同理心，有亲和力，有较好的服务意识、行程制定能力及时间管理能力；
5、能熟练运用各种日常办公软件及办公设备。",产品
"负责大型电竞赛事项目的策划、报道，与部门各业务团队高效配合，并能统筹与协调外部团队，推动对方与赛事相关团队配合顺畅；
负责腾讯视频游戏内容策划、及执行工作；针对独立的业务需求，策划并执行推进整体节目方案；
高效推进项目执行，跟踪分析实时效果，及时沉淀方法论，适时优化调整，不断创新，打造良好的活动体验。",31112-腾讯视频游戏内容运营,"大学本科及以上学历，游戏内容/电竞/市场3年及以上经验，热爱游戏行业， 熟悉王者荣耀等moba类游戏，熟悉电子竞技赛事、战队等相关领域；
熟悉游戏内容行业生态，对创新技术手段及新创意有较好的洞察，掌握游戏内容/电竞行业的团队资源；
良好的沟通、表达及逻辑思维能力，具有高度团队合作意识，积极的学习心态和敏捷执行能力。",产品
"1.负责腾讯综艺社交媒体账号的日常运营，包括但不限于微信公众号、微博、B站等；
2.结合腾讯视频重点综艺项目挖掘热点话题，制定官号的营销策划，助力节目和平台运营。
 ",22851-腾讯综艺社交媒体运营,"1.工作两年以上，有娱乐社交媒体运营或相关经验，深入了解当前社交平台的生态环境，了解粉丝经济，熟悉饭圈；
2.热爱综艺，阅片量大，对综艺节目有独立认知和见解，善于挖掘热点和话题点进行相关营销策划，脑洞大，有创造力；
3.文字功底扎实，会PS和简单的视频剪辑，新闻、中文、编导等相关专业优先；
4.责任心强，具备一定抗压能力，对社交运营工作高度认可，能适应高强度的视频网站工作节奏。",内容
"1、制定行业安全业务规划和业务拓展战略；
2、为重点行业客户提供高端信息安全规划和咨询设计；
3、挖掘行业需求，设计行业安全新业务模式，探索和推动行业新型安全产品设计；
4、推进重点行业信息安全标准的制定和完善；
5、整合公司安全产品和服务，设计行业整体安全解决方案；
6、推进和指导公司安全产品和服务的行业性改造和完善；",31506-行业安全专家（北京）,"1、具备10年以上信息安全咨询和安全解决方案工作经验；
2、具备综合安全解决方案能力，熟悉各类安全产品、国内外安全标准、安全服务；
3、行业安全咨询或安全管理经验不少于5年；
4、近两年内主导和完成过2000万以上行业综合安全项目；
5、具有CISSP/CISP/ISO27001/CISA等相关专业证书;
6、沟通，表达和协调能力强，PPT和文档能力扎实；
7、四大会计师事务所安全咨询，全球大型IT和互联网安全解决方案架构师，甲方安全管理工作背景优先。",技术
"1、制定行业安全业务规划和业务拓展战略；
2、为重点行业客户提供高端信息安全规划和咨询设计；
3、挖掘行业需求，设计行业安全新业务模式，探索和推动行业新型安全产品设计；
4、推进重点行业信息安全标准的制定和完善；
5、整合公司安全产品和服务，设计行业整体安全解决方案；
6、推进和指导公司安全产品和服务的行业性改造和完善；",31506-行业安全专家（上海）,"1、具备10年以上信息安全咨询和安全解决方案工作经验；
2、具备综合安全解决方案能力，熟悉各类安全产品、国内外安全标准、安全服务；
3、行业安全咨询或安全管理经验不少于5年；
4、近两年内主导和完成过2000万以上行业综合安全项目；
5、具有CISSP/CISP/ISO27001/CISA等相关专业证书;
6、沟通，表达和协调能力强，PPT和文档能力扎实；
7、四大会计师事务所安全咨询，全球大型IT和互联网安全解决方案架构师，甲方安全管理工作背景优先。",技术
"1、制定行业安全业务规划和业务拓展战略；
2、为重点行业客户提供高端信息安全规划和咨询设计；
3、挖掘行业需求，设计行业安全新业务模式，探索和推动行业新型安全产品设计；
4、推进重点行业信息安全标准的制定和完善；
5、整合公司安全产品和服务，设计行业整体安全解决方案；
6、推进和指导公司安全产品和服务的行业性改造和完善；",31506-行业安全专家（深圳）,"1、具备10年以上信息安全咨询和安全解决方案工作经验；
2、具备综合安全解决方案能力，熟悉各类安全产品、国内外安全标准、安全服务；
3、行业安全咨询或安全管理经验不少于5年；
4、近两年内主导和完成过2000万以上行业综合安全项目；
5、具有CISSP/CISP/ISO27001/CISA等相关专业证书;
6、沟通，表达和协调能力强，PPT和文档能力扎实；
7、四大会计师事务所安全咨询，全球大型IT和互联网安全解决方案架构师，甲方安全管理工作背景优先。",技术
负责微信推荐系统的建设和优化；包括特征工程、排序算法、跨领域推荐算法等研究和应用。,WXG08-122 微信推荐算法工程师,"计算机相关专业硕士及以上学历，一年以上的互联网工作经验；
熟练掌握c++, python等编程语言，熟练使用linux环境； 
熟悉常见的机器学习、数据挖掘算法，有一定的深度学习经验； 
参与过推荐系统、广告系统等线上系统者优先； 
有排序学习、跨领域建模、迁移学习等经验的优先；
责任心强，积极主动，勇于接受挑战，具有良好的团队合作和沟通能力。",技术
"负责车联网的架构设计、研发工作；
理解系统的业务需求，制定系统的整体技术、业务框架框架；
负责辅助并指导系统分析开展设计工作，承担从业务向技术转换的桥梁作用；
协助项目经理制定项目计划和控制项目进度；
负责组织技术研究、攻关、培训工作；
管理技术支撑团队并给项目、产品、开发实施团队提供技术保障，解决系统开发、运行中出现的各种问题。",CSIG16-车联网架构师（深圳）,"5年以上大型分布式系统设计开发经验，精通网络、数据库、大数据、面向对象等技术；
有TSP、电商、支付、推荐搜索、即时通讯架构经验者优先；
优秀的写作、沟通、培训能力；
很强的学习能力、分析能力、解决问题能力。",技术
"1、负责财付通网络支付业务反洗钱的客户身份识别体系搭建，包括客户身份信息数据收集、存储、调取等体系；
2、负责客户风险评级体系的搭建、优化完善风险管理流程；
3、对接监管方有关客户身份信息需求，将客户需求转换为产品需求，进行合理的产品功能设计，并推动落地实施及后续的改进优化；
4、其他重点项目的跟进及推动工作。
",18435-资深产品经理（KYC方向),"1、全日制本科及以上学历，3年以上产品经理工作经验，如有互联网金融公司的工作经验为佳； 
2、做事认真细致，逻辑严密，对自我有较高要求，主人翁意识强；
3、性格乐观，心态较好，抗压能力强；
4、具有良好的团队合作精神和组织沟通协调能力，具有较强的跨部门推动和资源整合能力。",产品
"岗位职责：
1、 负责财付通日常收付款结算相关工作； 负责对应结算业务的数据监控，分析业务指标变化趋势，并做出解释；负责编制相关结算报表；
2、负责结算需求的跟进和银行及清算机构关系的维护；  结合日常结算工作，提出结算相关的系统和流程优化改进措施并推动落地。",S2-财付通结算分析师(深圳) ,"岗位要求： 
1、全日制统招，本科以上学历，财务、金融、经数、统计等经济类相关专业毕业
2、2年以上支付行业、金融行业相关经验；
3、富有激情、责任心强、较强的学习能力、抗压能力及业务理解能力，有优秀的沟通协调能力及团队合作精神，善于思考、总结并具备分享精神；
3、英文水平良好，能熟练运用office等办公软件；
4、具备CFA、CPA等资质证书优先。",财务
